Date,WaterLevel,Flow,Rainfall
2024-01-02,10.247,1700.4,0.0
2024-01-03,10.256,1697.4,0.0
2024-01-04,10.266,1696.4,0.0
2024-01-05,10.276,1698.5,0.0
2024-01-08,10.29,1709.0,0.0
2024-01-09,10.297,1716.7,0.0
2024-01-10,10.301,1725.6,0.0
2024-01-11,10.303,1733.7,0.0
2024-01-12,10.302,1739.8,0.4
2024-01-15,10.304,1747.9,2.1
2024-01-16,10.3,1747.7,3.7
2024-01-17,10.295,1745.0,5.0
2024-01-18,10.291,1741.3,5.9
2024-01-19,10.289,1738.4,6.6
2024-01-22,10.294,1742.8,6.9
2024-01-23,10.296,1745.1,6.9
2024-01-24,10.301,1750.5,6.8
2024-01-25,10.309,1758.4,6.6
2024-01-26,10.318,1767.2,6.5
2024-01-29,10.333,1780.5,6.4
2024-01-30,10.343,1786.3,6.6
2024-01-31,10.352,1789.1,7.0
2024-02-01,10.358,1788.7,7.6
2024-02-02,10.368,1804.5,8.4
2024-02-05,10.392,1861.8,9.2
2024-02-06,10.396,1877.5,10.1
2024-02-07,10.399,1895.4,10.8
2024-02-08,10.4,1916.5,11.2
2024-02-09,10.401,1940.8,11.3
2024-02-12,10.419,2009.7,10.9
2024-02-13,10.423,2037.1,10.1
2024-02-14,10.428,2063.7,8.9
2024-02-15,10.436,2087.9,7.2
2024-02-16,10.447,2109.1,5.3
2024-02-19,10.477,2169.4,3.2
2024-02-20,10.491,2185.1,1.1
2024-02-21,10.507,2200.1,0.0
2024-02-22,10.522,2215.9,0.0
2024-02-23,10.537,2234.0,0.0
2024-02-26,10.565,2297.7,0.0
2024-02-27,10.575,2322.1,0.0
2024-02-28,10.582,2348.7,0.0
2024-02-29,10.587,2376.1,0.0
2024-03-01,10.589,2402.6,0.0
2024-03-04,10.613,2469.0,0.0
2024-03-05,10.616,2490.0,0.0
2024-03-06,10.62,2507.8,0.8
2024-03-07,10.625,2523.4,1.9
2024-03-08,10.633,2538.3,2.7
2024-03-11,10.664,2596.6,3.3
2024-03-12,10.677,2614.9,3.6
2024-03-13,10.692,2636.4,3.7
2024-03-14,10.709,2661.0,3.7
2024-03-15,10.726,2687.8,3.6
2024-03-18,10.764,2757.5,3.6
2024-03-19,10.781,2783.9,3.8
2024-03-20,10.795,2807.8,4.2
2024-03-21,10.806,2828.5,4.9
2024-03-22,10.815,2846.2,5.8
2024-03-25,10.842,2904.0,7.0
2024-03-26,10.847,2919.0,8.3
2024-03-27,10.85,2935.0,9.7
2024-03-28,10.853,2953.5,11.0
2024-03-29,10.857,2975.2,12.0
2024-04-01,10.883,3042.3,12.7
2024-04-02,10.902,3097.2,13.0
2024-04-03,10.924,3152.6,12.8
2024-04-04,10.948,3206.9,12.1
2024-04-05,10.975,3258.6,10.8
2024-04-08,11.046,3405.6,9.2
2024-04-09,11.075,3451.1,7.3
2024-04-10,11.104,3494.6,5.2
2024-04-11,11.131,3537.6,3.1
2024-04-12,11.156,3581.8,1.2
2024-04-15,11.222,3726.9,0.0
2024-04-16,11.243,3776.9,0.0
2024-04-17,11.26,3829.8,0.0
2024-04-18,11.276,3884.8,0.0
2024-04-19,11.29,3940.2,0.0
2024-04-22,11.348,4092.7,0.0
2024-04-23,11.363,4144.3,0.0
2024-04-24,11.38,4192.7,0.0
2024-04-25,11.399,4238.0,0.0
2024-04-26,11.42,4281.4,0.4
2024-04-29,11.62,4553.8,12.5
2024-04-30,11.691,4641.8,4.0
2024-05-01,11.764,4732.4,33.0
2024-05-02,11.837,4826.2,18.5
2024-05-03,11.909,4922.9,2.0
2024-05-06,12.135,5118.8,58.0
2024-05-07,12.229,5219.9,76.5
2024-05-08,12.32,5319.8,88.2
2024-05-09,12.388,5406.9,69.4
2024-05-10,12.454,5490.9,96.0
