Date,WaterLevel,Flow,Rainfall
2023-12-25,6.145,3148.7,6.4
2023-12-26,6.137,3158.4,5.0
2023-12-27,6.131,3166.1,3.2
2023-12-28,6.127,3170.7,1.3
2023-12-29,6.125,3172.1,0.0
2024-01-01,6.124,3179.1,0.0
2024-01-02,6.127,3176.9,0.0
2024-01-03,6.136,3175.3,0.0
2024-01-04,6.145,3175.8,0.0
2024-01-05,6.154,3179.3,0.0
2024-01-08,6.166,3194.2,0.0
2024-01-09,6.172,3203.4,0.0
2024-01-10,6.176,3213.6,0.0
2024-01-11,6.177,3223.3,0.0
2024-01-12,6.175,3230.7,0.4
2024-01-15,6.176,3243.2,2.1
2024-01-16,6.171,3244.4,3.7
2024-01-17,6.165,3243.2,5.0
2024-01-18,6.16,3241.0,5.9
2024-01-19,6.157,3239.5,6.6
2024-01-22,6.16,3248.2,6.9
2024-01-23,6.162,3252.0,6.9
2024-01-24,6.167,3258.9,6.8
2024-01-25,6.173,3268.2,6.6
2024-01-26,6.182,3278.5,6.5
2024-01-29,6.195,3296.1,6.4
2024-01-30,6.204,3303.4,6.6
2024-01-31,6.212,3307.6,7.0
2024-02-01,6.218,3308.7,7.6
2024-02-02,6.226,3366.7,8.4
2024-02-05,6.244,3550.4,9.2
2024-02-06,6.246,3608.3,10.1
2024-02-07,6.247,3668.4,10.8
2024-02-08,6.246,3731.7,11.2
2024-02-09,6.245,3798.1,11.3
2024-02-12,6.257,3993.5,10.9
2024-02-13,6.258,4063.1,10.1
2024-02-14,6.261,4131.8,8.9
2024-02-15,6.267,4198.3,7.2
2024-02-16,6.276,4261.6,5.3
2024-02-19,6.299,4448.4,3.2
2024-02-20,6.312,4506.3,1.1
2024-02-21,6.326,4563.4,0.0
2024-02-22,6.339,4621.4,0.0
2024-02-23,6.351,4681.7,0.0
2024-02-26,6.374,4871.8,0.0
2024-02-27,6.381,4938.4,0.0
2024-02-28,6.386,5007.2,0.0
2024-02-29,6.389,5076.8,0.0
2024-03-01,6.389,5145.4,0.0
2024-03-04,6.405,5338.4,0.0
2024-03-05,6.406,5401.5,0.0
2024-03-06,6.407,5461.5,0.8
2024-03-07,6.41,5519.2,1.9
2024-03-08,6.415,5576.3,2.7
2024-03-11,6.438,5761.1,3.3
2024-03-12,6.448,5821.6,3.6
2024-03-13,6.461,5885.3,3.7
2024-03-14,6.475,5952.0,3.7
2024-03-15,6.49,6020.9,3.6
2024-03-18,6.521,6217.2,3.6
2024-03-19,6.534,6285.7,3.8
2024-03-20,6.546,6351.8,4.2
2024-03-21,6.555,6414.7,4.9
2024-03-22,6.561,6474.5,5.8
2024-03-25,6.581,6658.9,7.0
2024-03-26,6.582,6716.0,8.3
2024-03-27,6.583,6774.2,9.7
2024-03-28,6.583,6834.9,11.0
2024-03-29,6.585,6898.7,12.0
2024-04-01,6.603,7092.3,12.7
2024-04-02,6.611,7170.0,13.0
2024-04-03,6.621,7248.2,12.8
2024-04-04,6.634,7325.3,12.1
2024-04-05,6.65,7399.8,10.8
2024-04-08,6.688,7615.2,9.2
2024-04-09,6.705,7683.5,7.3
2024-04-10,6.723,7749.8,5.2
2024-04-11,6.739,7815.6,3.1
2024-04-12,6.753,7882.6,1.2
2024-04-15,6.786,8096.1,0.0
2024-04-16,6.795,8168.9,0.0
2024-04-17,6.801,8244.6,0.0
2024-04-18,6.805,8322.4,0.0
2024-04-19,6.809,8400.6,0.0
2024-04-22,6.833,8621.5,0.0
2024-04-23,6.836,8695.9,0.0
2024-04-24,6.842,8767.1,0.0
2024-04-25,6.85,8835.2,0.0
2024-04-26,6.86,8901.4,0.4
2024-04-29,6.906,9152.4,8.4
2024-04-30,6.925,9233.2,2.0
2024-05-01,6.946,9316.6,21.5
2024-05-02,6.968,9403.3,12.8
2024-05-03,6.989,9492.9,0.0
2024-05-06,7.055,9848.8,22.0
2024-05-07,7.084,10019.9,28.5
2024-05-08,7.11,10189.8,18.2
2024-05-09,7.123,10311.9,14.6
2024-05-10,7.134,10430.9,26.4
